ID,Theme,Year,Key Contribution,Explainability Gap,Data Limitation,Limitations
jaiswal2025anomaly,T2,2025,Systematic comparison of 4 anomaly detection methods with multiple fea...,YES (anomaly scores not interpreted; no SHAP/LIME),YES (only 3 commodity types — king crab variants; narrow product scope),Very narrow commodity scope (only king crab); no ground-truth labels f...
hu2025iccarag,T4,2025,First RAG-based customs clearance assistant with multimodal document p...,PARTIAL (RAG provides source attribution but no model interpretability),NO (open-sourced dataset),Chinese customs-specific dataset; real-time retrieval performance not ...
liao2024enhanced,T1,2024,Multi-scale attention mechanism enhancing BiLSTM's perception of key f...,PARTIAL (attention weights provide some interpretability),"NO (large-scale real customs data, 320K+ entries)",Chinese-specific model (ERNIE); limited to semi-structured customs dec...
tian2024knowledge,T4,2024,First domain-specific OCR pipeline for customs documents combining kno...,YES (no model interpretability analysis),"YES (small dataset — 462 documents, single document types)",Limited to two document types; system not intelligent enough for autom...
lee2024explainable,T1,2024,First XAI model for HS classification combining code prediction with s...,NO (explicitly addresses XAI with retrieved evidence sentences and LLM discussion),NO (large real-world dataset from KCS with 20 years of cases),Model is Korean-language-specific; tested on 3 of 97 chapters; data di...
gancheva2024hybrid,T2,2024,Complete SOA-based system architecture for customs fraud analytics int...,YES (no explainability analysis of NN predictions),YES (uses synthetic data; limited to 13 of 22 available features),Uses synthetic dataset; only 13 features selected from 22; basic accur...
gancheva2024ml,T2,2024,Systematic ML pipeline using Orange Data Mining tool for customs fraud...,YES (no feature importance or interpretability analysis),YES (synthetic data generated from real declarations but identity-protected),Dataset is synthetic (privacy-protected); limited to precision metric ...
chilomo2024fraud,T2,2024,First ML-based HS code fraud detection on 8-digit-level data from an S...,YES (no feature importance or model interpretability analysis),YES (limited to 3 of 97 HS chapters; 18.5% fraud rate may not be representative),Limited to 3 HS chapters out of 97; Malawi-specific trade patterns and...
seck2024fraud,T2,2024,First ML-based customs fraud detection study using Senegalese customs ...,YES (no feature importance or model interpretability analysis),YES (severe class imbalance — only 1.45% fraud; limited variables),Severe class imbalance (1.45% fraud); F1 for fraud class very low (0.2...
han2024clearance,T3,2024,"Integrated AI customs clearance system achieving ""single entry, dual d...",YES (no interpretability analysis of AI components),NO (large real-world deployment),"No formal evaluation metrics (accuracy, F1); deployment statistics but..."
chan2023autoencoder,T2,2023,End-to-end DL-based QA mechanism for trade declarations using text ana...,PARTIAL (word embeddings visualization provided but no model interpretability analysis),"NO (real HK customs data, millions of declarations)",Only 2 chapters evaluated; bilingual Chinese-English text handling spe...
kim2023gate,T2,2023,Hybrid exploitation-exploration strategy for long-term customs fraud d...,PARTIAL (DATE provides interpretability but gATE exploration is less transparent),NO (real multi-country data),Exploration-exploitation ratio set empirically; deployment in producti...
singh2023graphfc,T2,2023,Model-agnostic GNN framework converting tabular customs data to graph ...,YES (GNN model is black-box; no interpretability analysis provided),NO (large multi-year real customs datasets from two countries),Only undervaluation fraud type addressed; country identities anonymize...
jang2023nuclear,T3,2023,Novel X-ray data augmentation using subtractive pixel mixing to simula...,YES (segmentation models are black-box; no interpretability for operators),YES (all training data is synthetic; real cargo X-rays with nuclear items are unavailable; only 2 X-ray images per nuclear item type),Synthetic data only — no real deployment validation; fails on extremel...
prexawanprasut2023package,T3,2023,Combined ML object detection with OCR label validation to improve clas...,YES (no model interpretability analysis),"YES (only 5,675 images from 3 companies; limited to 5 product categories)","Small dataset (5,675 images); only 5 product categories; Medical class..."
han2023association,T2,2023,Dynamic-weight incremental mining algorithm that assigns importance we...,NO (association rules are inherently interpretable),YES (specific customs dataset not publicly available; limited detail on dataset size),"No comparison with modern ML baselines (e.g., tree-based classifiers, ..."
ganbayev2023customs,T2,2023,Demonstrates ensemble stacking (RF+XGBoost) achieves 89% accuracy vs R...,NO (feature importance analysis provided for all 3 models),NO (BACUDA is a well-known benchmark dataset),Dataset from 2013–2014 may not reflect current trade patterns; RiskH f...
kongnakorn2023tariff,T1,2023,Novel application of IUPAC chemical nomenclature as feature for HS cod...,YES (no interpretability analysis of SVM decisions),YES (limited to Chapter 29 organic chemicals; small dataset of ~5K records; 23 records removed due to complex IUPAC names),"Limited to one HS chapter (29); simple ML models (K-NN, SVM); no deep ..."
feng2023bert,T4,2023,Addresses keyword over-dependence problem in BERT for customs declarat...,NO (keyword attention scores provide some interpretability),YES (single declassified dataset; binary classification only),No public DOI; binary classification (standard vs. non-standard) rathe...
shubham2023ensemble,T1,2023,Hierarchical model with 16% accuracy improvement over flat model; know...,NO (knowledge graph explicitly provides auditability and rationale for classification),YES (publicly available dataset may not reflect actual customs data quality; only Chapter 84 evaluated for HS4),Conditional probability approach for hierarchical model not fully form...
zhou2022hybridcnn,T1,2022,SSCNN solving structured text feature-fusion via structural token padd...,YES (no interpretability analysis despite identifying distinguishing elements; black-box CNN),NO (large-scale real customs data: 1M+ records),Chinese customs-specific declaration format; structured text approach ...
yi2022bayesian,T2,2022,Combining wavelet decomposition with GA-optimized BP neural network gr...,NO (wavelet decomposition provides interpretable frequency decomposition of price signals),YES (very small dataset: 141 records; single commodity code 400122; 6-month window),Very small dataset (141 records); single commodity type; no comparison...
park2022das,T2,2022,First-of-kind domain adaptation system for cross-country customs fraud...,NO (t-SNE visualization of embeddings + qualitative case analysis demonstrate decision rationale),NO (8M+ real declarations from 4 countries with WCO partnership),Countries anonymized as M/C/N/T (NDA); assumes 5% inspection rate; pro...
chen2022transfer,T1,2022,Novel ATS (Automated Text Scoring) framework for customs shipment desc...,NO (domain knowledge features are interpretable; ordinal regression provides transparent scoring),"YES (only 2,500 labeled items; 4-page poster with limited detail)","Very small labeled dataset (2,500 items); poster paper with limited ex..."
delima2022bert,T1,2022,First empirical comparison of Portuguese-specific vs. multilingual BER...,NO (LIME analysis applied to demonstrate interpretable classification decisions),NO (7.6M real Brazilian import records; 265K after preprocessing),Only Chapter 90 evaluated (of 96); Portuguese-specific findings may no...
jiunhooi2022entity,T2,2022,Entity embeddings as effective encoding for high-cardinality customs f...,NO (t-SNE visualization of entity embeddings provides interpretable fraud clustering),YES (38K records; single HS code 4011; confidential data details cannot be disclosed),Single HS code (4011) only; entity embeddings underperform on tree-bas...
cuaya2022tariff,T1,2022,End-to-end web system integrating CNN variety classification and tarif...,"YES (black-box CNN, no interpretability mechanism)",YES (very small dataset: 200+180 images; internet-sourced),Very small datasets; limited to coffee beans only; no comparison with ...
oosterman2022autoencoder,T2,2022,Unsupervised anomaly detection approach for customs where ground-truth...,YES (acknowledges need for SHAP interpretability as future work),YES (only 32 confirmed fraud cases out of 835K; near-absent labels),Extremely sparse labeled data (32/835K); quantitative eval only on syn...
cho2021gan,T3,2021,Texture-map-based image-to-image translation for BSX data augmentation...,YES (GAN-generated images are not interpretable),YES (limited real BSX data motivates entire approach),Focused only on vehicle inspection in containers; Korean customs-speci...
kuo2021hybrid,T2,2021,"ANN-based identification of 6 key smuggling factors (firm age, capital...",PARTIAL (logistic regression coefficients provide interpretability; ANN feature selection is interpretable through identified factors),NO (large-scale real customs data: 176K manifests),Single port (Taichung); ANN architecture details sparse (no hyperparam...
garcia2021bayesian,T2,2021,First multi-objective optimization for customs; MOBADO hybrid combinin...,NO (Bayesian approach with interpretable precision estimates; SDT provides transparent threshold selection),NO (massive real-world dataset: 8M+ records),Spain-specific regulatory context; simplified toy examples in methodol...
he2021commodity,T1,2021,Hierarchical HS-code splitting framework; fusion model combining BERT ...,YES (deep learning models are black-box; no interpretability mechanism),YES (limited to Chapter 84 of HS code; Chinese text only),Limited to Chapter 84 (19-105 subcategories); Chinese-only text; data ...
chen2021nmt,T1,2021,Novel NMT formulation of HS classification as machine translation; hie...,YES (NMT/LSTM are black-box; no interpretability mechanism),YES (noisy descriptions; wrong HS code assignments due to human error in training data),Only 6-digit HS codes; noisy/incomplete item descriptions; single dest...
saurav2021correctness,T1,2021,Unsupervised ML approach for HS code verification without requiring la...,YES (no interpretability of embedding-based decisions),"YES (synthetic labelling process, limited ground truth)",71% accuracy is modest; synthetic data labelling process may introduce...
du2021hscodenet,T1,2021,Novel architecture exploiting hierarchical text structure (declaration...,YES (deep neural network; no interpretability mechanism),NO (large real-world datasets from customs agency),Chinese-language only; specific to Chinese customs declaration element...
nguyen2021attentive,T1,2021,Hierarchical classification architecture preserving HS code structure;...,NO (attention mechanism provides some interpretability),YES (limited to 6 out of 99 HS chapters),Full HS code accuracy only 64.43%; limited to 6 chapters; no pre-train...
demochkina2020detection,T3,2020,Overlapping block selection pipeline making small objects discriminati...,YES (deep CNN-based detectors are black-box),YES (very small threat dataset: 45 images; limited categories),Very small threat dataset (45 images); slow inference due to block pro...
date2020fraud,T2,2020,Novel architecture combining tree-based interpretability with deep lea...,NO (interpretable cross features from GBDT + attention weights validated by WCO experts),YES (single country — Nigeria; only single goods declarations),Nigeria data only; adjusted values used instead of initial declared va...
vanhoeyveld2020costsensitive,T2,2020,Systematic framework demonstrating high-cardinality and behavioural da...,YES (EasyEnsemble with RBF kernel is black-box; linear SVM is comprehensible),NO (9.6M records — very large dataset),Belgian-specific data; exact dataset size of labeled subset not disclo...
canrakerta2020smote,T2,2020,Integrated BI framework (data warehouse + OLAP + dashboards + data min...,YES (neural network and ensemble methods are black-box),"YES (only 7,204 records from 3 months at one office; only 8 nominal attributes)","Very small dataset (3 months, one office); only 8 nominal features wit..."
spichakova2020misclassification,T1,2020,Novel combined similarity measure integrating text-based and taxonomy-...,NO (combined similarity measure is interpretable; assessment scores have clear semantic meaning),NO (1.2M records from real US customs data),No comparison with other similar methods (acknowledged by authors); un...
harsani2020classification,T1,2020,Systematic comparison of short text classification methods for HS code...,NO (SVM/KNN are interpretable; N-gram features are transparent),YES (only Chapter 64 — footwear; only 33 classes out of thousands of possible HS codes),Only Chapter 64 (footwear); no analysis across multiple chapters; poor...
li2019customs,T1,2019,First multimodal (text+image) adaptive fusion approach for customs com...,YES (no interpretability analysis of CNN classification decisions),NO,Limited to one e-commerce platform; no analysis of model interpretabil...
zhou2019risk,T2,2019,Application of cost-sensitive decision tree with boosting to customs r...,NO (decision trees are inherently interpretable),YES (class imbalance challenge explicitly addressed),Single-country dataset; cost ratios are set heuristically rather than ...
regmi2018customs,T2,2018,Comparative study showing DNN outperforms DT and SVM in customs risk a...,YES (DNN is black-box; no interpretability analysis),NO,Short conference paper with limited architectural detail; no cross-val...
che2018xray,T3,2018,"First ensemble combining DL image categorization, cargo manifest analy...",NO (human-in-the-loop paradigm addresses explainability),YES (limited labeled cargo image data),HS code semantic tree balances specificity vs accuracy but may lose fi...
triepels2018fraud,T2,2018,Novel Bayesian-to-neural-network hybrid for predicting goods presence ...,PARTIAL (Bayesian structure is interpretable but neural extension reduces transparency),YES (high dimensionality challenge),Discriminative model loses the probabilistic interpretability of pure ...
wang2018process,T4,2018,First computational audit framework for customs supervision combining ...,NO (process mining outputs are inherently interpretable),YES (limited to one customs administration's event logs),Process mining is borderline AI/ML; single case study limits generaliz...
xu2017crf,T4,2017,Combined CRF+domain rules for entity extraction from customs commodity...,NO (rule-based approach is inherently interpretable),YES (Chinese customs data only),Language-dependent NER rules limit applicability to Chinese customs da...
visser2016atr,T3,2016,Multi-component system for automated customs X-ray inspection includin...,NO,"YES (limited real illicit item examples, relies on simulated data)",Scanner variations create standardization challenges; reliance on simu...
triepels2015customs,T2,2015,Probabilistic classification combining supply chain trajectory data fo...,NO (probabilistic models with decision rules are interpretable),"YES (limited fraud labels, maritime-specific data)",Applied to freight forwarder perspective rather than customs authority...
liu2014customs,T2,2014,Application of outlier data mining with LOF index to identify high-ris...,NO (outlier scores are interpretable),"YES (only 31 samples, single product type)",Very small sample (31 records); single product type (electrical mechan...
duan2013customs,T2,2013,Fusion of fuzzy theory with BP neural network for customs risk classif...,YES (neural network black-box),YES (50 samples only),Very small dataset (50 samples); low fitting rate (70%); authors ackno...
wang2011customs,T2,2011,BP neural network classification of customs inspection results achievi...,"YES (neural network model is uninterpretable, as noted by authors)",NO (large real-world dataset),Neural network model acknowledged as uninterpretable by authors; train...
wang2010customs,T2,2010,CBA approach for customs risk classification with adaptive minimum sup...,NO (association rules are inherently interpretable),NO (large real-world dataset),Missing important attributes (commodity type) reduces accuracy; low se...
li2006inspection,T1,2006,"First comprehensive HS coding service combining data mining, ML, seman...",NO (rule-based and semantic reasoning are interpretable),NO (real deployment data),Knowledge database partially manual; semantics verification not fully ...
kumar2006customs,T2,2006,Systematic hybrid methodology addressing skewed data (1-2% fraud rate)...,NO (classification tree rules are interpretable; hybrid approach discussed),"NO (large real-world dataset, 329K records)",Limited to electrical and electronic goods; single customs station (Ba...
li2005ecustoms,T2,2005,Multi-variable cluster analysis identifying 7 cargo risk types for tar...,NO (cluster analysis results are interpretable),"YES (single port, 2002 data)",Descriptive cluster analysis without predictive validation; single por...
